,kId,group,make,model,year,imageLink,stockPerformancePoints,maxPerformancePoints,stockDrivetrain,stockIngamePrice,carSource,stockSpeed,stockHandling,stockAcceleration,stockLaunch,stockBraking,stockOffroad,stockTopSpeedKmh,stockLateralGs,stock0To97,stock0To161,stockHorsepower,stockWeightLbs
101,102,MODERN SUPERCARS,Chevrolet,Corvette Stingray Coupe,2020,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_102.jpg?v=1,806,993.0,RWD,65000,Autoshow,7.2,7.0,6.9,7.6,5.2,4.8,318.6,1.11,2.788,7.071,495,3577
102,103,CULT CARS,Datsun,510,1970,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_103.jpg?v=1,264,914.0,RWD,25000,This info will be available soon,3.7,3.7,2.8,2.3,1.9,5.0,167.2,0.73,13.477,41.985,96,2127
103,104,UNLIMITED OFFROAD,Deberti,Jeep Wrangler Unlimited,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_104.jpg?v=1,749,870.0,AWD,200000,Mastery Tree,4.7,4.0,6.3,4.8,4.4,9.3,213.1,0.92,3.628,8.47,707,4650
104,105,DRIFT CARS,Deberti,Chevrolet Silverado 1500 Drift Truck,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_105.jpg?v=1,798,941.0,RWD,300000,Autoshow,6.7,4.8,4.9,5.1,5.2,4.0,288.2,1.07,2.989,5.477,1005,3500
105,106,UNLIMITED OFFROAD,Deberti,Ford F-150 Prerunner,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_106.jpg?v=1,691,858.0,RWD,250000,Autoshow,5.7,3.6,5.4,5.8,4.9,9.9,252.8,0.86,5.013,12.228,800,7000
106,107,DRIFT CARS,Deberti,"Toyota Tacoma TRD ""The Performance Truck""",-1,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_107.jpg?v=1,836,956.0,RWD,500000,Autoshow,6.4,5.6,4.9,5.1,6.9,4.7,283.7,1.11,3.574,6.361,900,3215
107,108,CLASSIC MUSCLE,Dodge,Charger R/T,1969,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_108.jpg?v=1,548,924.0,RWD,103000,Autoshow,5.1,3.8,3.6,3.5,2.4,5.1,226.0,0.78,5.985,15.98,425,3671
108,109,CLASSIC MUSCLE,Dodge,Charger Daytona HEMI,1969,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_109.jpg?v=1,595,945.0,RWD,900000,Mastery Tree,5.0,3.8,3.8,3.7,2.8,5.4,223.7,0.79,6.367,13.963,425,3875
109,110,CLASSIC MUSCLE,Dodge,Challenger R/T,1970,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_110.jpg?v=1,551,931.0,RWD,210000,Autoshow,5.5,3.8,3.4,3.3,2.5,5.0,240.9,0.79,6.315,12.3,425,3800
110,111,TRACK TOYS,Dodge,Viper SRT10 ACR,2008,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_111.jpg?v=1,844,999.0,RWD,90000,Autoshow,7.2,7.9,5.6,4.7,7.5,4.8,316.3,1.21,3.4,7.983,600,3408
111,112,MODERN MUSCLE,Dodge,SRT Viper GTS,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_112.jpg?v=1,813,963.0,RWD,95000,Autoshow,7.6,6.1,5.5,4.6,5.8,4.7,334.6,1.06,3.571,7.634,640,3296
112,113,MODERN MUSCLE,Dodge,Challenger SRT Hellcat,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_113.jpg?v=1,755,932.0,RWD,75000,Autoshow,7.7,5.4,4.5,4.6,4.9,4.2,332.8,0.93,3.579,7.588,707,4438
113,114,MODERN MUSCLE,Dodge,Charger SRT Hellcat,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_114.jpg?v=1,762,941.0,RWD,80000,Autoshow,7.8,5.3,4.7,4.9,5.0,4.7,339.7,0.92,3.4,7.2,707,4575
114,115,TRACK TOYS,Dodge,Viper ACR,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_115.jpg?v=1,873,992.0,RWD,150000,Autoshow,6.7,8.6,6.2,5.3,9.4,4.4,297.9,1.32,3.468,7.382,645,3368
115,116,SPORTS UTILITY HEROES,Dodge,Durango SRT,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_116.jpg?v=1,666,943.0,AWD,70000,Autoshow,6.3,3.8,5.8,5.6,3.7,6.7,278.4,0.9,4.4,11.7,475,5510
116,117,MODERN MUSCLE,Dodge,Challenger SRT Demon,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_117.jpg?v=1,786,929.0,RWD,150000,Autoshow,7.8,5.5,4.8,5.0,5.3,4.6,334.1,0.99,2.286,5.98,840,4248
117,118,UNLIMITED BUGGIES,Exomotive,Exocet Off-Road,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_118.jpg?v=1,682,903.0,RWD,50000,Autoshow,4.5,4.8,5.3,5.7,5.2,8.6,199.7,0.93,4.025,9.529,252,1571
118,119,CLASSIC RACERS,Ferrari,250 Testa Rossa,1957,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_119.jpg?v=1,691,948.0,RWD,16400000,Autoshow,6.3,4.4,4.5,4.2,2.9,4.5,276.2,0.87,6.047,12.938,300,2028
119,120,RARE CLASSICS,Ferrari,250 California,1957,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_120.jpg?v=1,564,915.0,RWD,18500000,Autoshow,5.4,4.0,3.4,2.3,2.8,5.7,240.1,0.8,6.467,14.665,262,2315
120,121,CLASSIC RACERS,Ferrari,#24 Ferrari Spa 330 P4,1967,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_121.jpg?v=1,780,895.0,RWD,9000000,Wheelspin,7.2,5.1,6.3,5.9,4.2,4.4,319.0,1.04,3.8,8.0,450,2271
121,122,RARE CLASSICS,Ferrari,365 GTB/4,1968,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_122.jpg?v=1,637,901.0,RWD,600000,Autoshow,7.0,4.4,4.4,3.1,3.0,5.4,305.0,0.81,5.883,11.983,405,3600
122,123,RARE CLASSICS,Ferrari,Dino 246 GT,1969,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_123.jpg?v=1,535,914.0,RWD,425000,Wheelspin,5.2,4.9,3.2,2.0,2.8,5.4,232.6,0.83,7.9,21.5,195,2380
123,124,RETRO SUPERCARS,Ferrari,288 GTO,1984,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_124.jpg?v=1,750,939.0,RWD,3500000,Autoshow,7.4,5.6,5.6,3.1,4.2,4.7,326.5,1.08,4.979,10.978,395,2822
124,125,RETRO SUPERCARS,Ferrari,F40,1987,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_125.jpg?v=1,784,965.0,RWD,1200000,Autoshow,7.3,6.5,6.3,2.6,5.3,5.0,321.5,1.13,3.683,8.082,478,2980
125,126,RETRO SUPERCARS,Ferrari,F355 Berlinetta,1994,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_126.jpg?v=1,717,939.0,RWD,190000,Autoshow,6.8,6.1,4.5,3.6,4.3,4.9,300.3,1.07,4.782,11.1,375,3196
126,127,RETRO SUPERCARS,Ferrari,F50,1995,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_127.jpg?v=1,789,974.0,RWD,2000000,Autoshow,7.3,6.5,5.7,5.0,5.6,4.8,325.1,1.14,3.683,8.5,513,2976
127,128,EXTREME TRACK TOYS,Ferrari,F50 GT,1996,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_128.jpg?v=1,976,999.0,RWD,2000000,Autoshow,8.1,10.0,7.0,7.1,10.0,4.1,363.4,1.79,2.859,6.649,750,2002
128,129,RETRO SUPERCARS,Ferrari,Enzo Ferrari,2002,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_129.jpg?v=1,857,983.0,RWD,2800000,Autoshow,8.1,7.5,6.4,6.9,8.3,4.7,354.7,1.08,3.286,6.584,650,3263
129,130,RETRO SUPERCARS,Ferrari,360 Challenge Stradale,2003,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_130.jpg?v=1,773,962.0,RWD,200000,Wheelspin,7.0,6.8,6.1,5.6,6.6,4.7,308.7,1.01,4.1,9.7,409,2844
130,131,EXTREME TRACK TOYS,Ferrari,FXX,2005,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_131.jpg?v=1,956,999.0,RWD,2500000,Autoshow,8.4,10.0,8.1,8.9,10.0,4.4,372.4,1.71,2.782,5.282,789,2731
131,132,MODERN SUPERCARS,Ferrari,430 Scuderia,2007,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_132.jpg?v=1,810,958.0,RWD,300000,Wheelspin,7.6,6.9,6.2,6.4,6.9,4.3,335.9,1.02,3.1,7.1,503,3150
132,133,MODERN SUPERCARS,Ferrari,458 Italia,2009,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_133.jpg?v=1,823,970.0,RWD,225000,Autoshow,7.9,7.2,6.3,6.8,6.9,4.1,353.9,1.02,3.0,6.486,562,3274
133,134,EXTREME TRACK TOYS,Ferrari,599XX Evolution,2012,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_134.jpg?v=1,952,999.0,RWD,2600000,Autoshow,8.0,9.8,7.3,7.9,10.0,3.8,356.0,1.69,2.784,5.482,740,3038
134,135,HYPERCARS,Ferrari,LaFerrari,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_135.jpg?v=1,934,999.0,RWD,1500000,Car Collection,9.4,9.0,7.2,7.9,9.6,4.4,410.0,1.28,2.9,5.2,963,3263
135,136,TRACK TOYS,Ferrari,458 Speciale,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_136.jpg?v=1,865,992.0,RWD,340000,Wheelspin,7.7,8.0,6.9,7.5,7.9,3.7,343.9,1.15,2.863,6.065,597,3075
136,137,EXTREME TRACK TOYS,Ferrari,FXX K,2014,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_137.jpg?v=1,979,999.0,RWD,2700000,Autoshow,8.1,10.0,8.1,9.0,10.0,3.6,352.9,1.72,2.369,4.466,1036,2831
137,138,MODERN SUPERCARS,Ferrari,488 GTB,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_138.jpg?v=1,863,971.0,RWD,290000,Autoshow,8.2,7.9,6.8,6.5,7.8,4.4,359.0,1.14,2.8,5.7,660,3252
138,139,SUPER GT,Ferrari,F12tdf,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_139.jpg?v=1,884,999.0,RWD,500000,Autoshow,8.8,7.6,6.5,7.0,8.4,4.8,387.5,1.16,2.887,5.985,769,3351
139,140,SUPER GT,Ferrari,812 Superfast,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_140.jpg?v=1,878,999.0,RWD,350000,Autoshow,7.9,7.5,6.2,6.6,7.6,4.0,352.4,1.15,3.0,5.487,788,3594
140,141,SUPER GT,Ferrari,GTC4Lusso,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_141.jpg?v=1,816,943.0,AWD,300000,Wheelspin,7.5,6.8,6.9,6.7,6.6,5.1,335.4,1.14,3.4,7.2,680,4233
141,142,SUPER GT,Ferrari,Portofino,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_142.jpg?v=1,814,952.0,RWD,215000,Autoshow,7.8,6.5,6.3,6.8,6.8,4.7,342.6,1.09,3.286,7.385,591,3669
142,143,TRACK TOYS,Ferrari,488 Pista,2019,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_143.jpg?v=1,889,997.0,RWD,320000,Autoshow,7.6,8.2,7.0,7.6,8.4,4.2,338.7,1.27,2.26,4.9,711,3053
143,144,RODS AND CUSTOMS,Ford,De Luxe Five-Window Coupe,1932,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_144.jpg?v=1,126,945.0,RWD,35000,Autoshow,3.2,3.9,1.9,2.8,1.8,4.8,144.5,0.71,16.8,,65,2398
144,145,RODS AND CUSTOMS,Ford,De Luxe Coupe,1940,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_145.jpg?v=1,130,967.0,RWD,44000,Autoshow,3.2,3.6,2.1,2.2,1.8,6.1,145.8,0.69,16.8,,85,2970
145,146,RODS AND CUSTOMS,Ford,F-100,1956,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_146.jpg?v=1,302,943.0,RWD,36000,Barn,3.8,2.7,3.1,3.0,2.1,6.9,170.6,0.71,14.9,39.962,173,3325
146,147,CULT CARS,Ford,Anglia 105E,1959,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_147.jpg?v=1,100,906.0,RWD,20000,Autoshow,2.6,4.1,1.6,2.6,2.0,6.1,120.1,0.73,30.5,,39,1676
147,148,CLASSIC RACERS,Ford,GT40 Mk I,1964,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_148.jpg?v=1,754,964.0,RWD,11000000,Car Collection,6.9,5.2,4.6,3.7,4.0,4.8,305.8,1.02,4.281,8.982,390,2222
148,149,CLASSIC MUSCLE,Ford,Mustang GT Coupe,1965,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_149.jpg?v=1,499,940.0,RWD,46000,Autoshow,5.1,3.6,3.3,3.2,2.3,5.4,227.1,0.78,7.482,21.476,271,2562
149,150,VANS AND UTILITY,Ford,Transit,1965,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_150.jpg?v=1,100,881.0,RWD,25000,Autoshow,2.5,4.2,1.3,1.8,1.8,6.3,113.0,0.67,31.0,,73,3527
150,151,CLASSIC RACERS,Ford,#2 GT40 Mk II,1966,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_151.jpg?v=1,771,934.0,RWD,11000000,Autoshow,7.5,5.0,4.3,3.5,3.8,4.7,331.0,1.0,4.2,8.2,485,2682
151,152,CLASSIC RACERS,Ford,Lotus Cortina,1966,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_152.jpg?v=1,389,912.0,RWD,50000,Autoshow,4.0,3.9,3.5,2.6,2.3,5.3,181.4,0.79,9.68,32.479,115,2060
152,153,CLASSIC RALLY,Ford,Racing Escort MK1,1967,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_153.jpg?v=1,636,881.0,RWD,500000,Barn,4.5,4.8,4.6,3.5,4.1,7.3,202.6,0.9,5.882,16.48,200,2116
153,154,CLASSIC MUSCLE,Ford,Mustang GT 2+2 Fastback,1968,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_154.jpg?v=1,498,924.0,RWD,50000,Barn,5.7,3.9,3.4,3.3,2.3,5.5,243.2,0.76,6.286,16.284,325,3548
154,155,CLASSIC MUSCLE,Ford,Mustang Boss 302,1969,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_155.jpg?v=1,581,939.0,RWD,230000,Autoshow,5.5,4.4,3.2,2.3,3.0,5.8,241.6,0.85,6.882,15.964,290,3250
155,156,CLASSIC RALLY,Ford,GT70,1970,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_156.jpg?v=1,671,919.0,RWD,150000,Autoshow,5.1,5.5,4.2,3.1,3.4,7.3,231.3,1.04,6.5,14.5,200,1680
156,157,CLASSIC MUSCLE,Ford,Falcon XA GT-HO,1972,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_157.jpg?v=1,624,942.0,RWD,80000,Autoshow,6.3,4.2,4.0,3.3,2.9,5.4,280.2,0.83,5.4,11.484,410,3461
157,158,CLASSIC SPORTS CARS,Ford,Capri RS3100,1973,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_158.jpg?v=1,497,939.0,RWD,55000,Autoshow,4.8,4.1,3.8,3.3,2.5,5.2,210.0,0.81,7.283,20.782,148,2315
158,159,CLASSIC RALLY,Ford,Escort RS1600,1973,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_159.jpg?v=1,476,920.0,RWD,73000,Autoshow,4.2,4.1,3.7,2.7,2.9,5.9,189.1,0.83,8.261,24.164,113,1918
159,160,PICK-UP & 4X4'S,Ford,Bronco,1975,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_160.jpg?v=1,421,938.0,AWD,38000,Autoshow,4.3,3.0,3.5,2.8,2.1,8.0,192.2,0.76,8.58,28.12,205,3545
160,161,CLASSIC RALLY,Ford,#5 Escort RS1800 MkII,1977,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_161.jpg?v=1,662,907.0,RWD,300000,Autoshow,4.4,4.5,5.0,5.3,3.8,7.0,198.0,0.9,4.4,12.282,255,2161
161,162,CLASSIC RALLY,Ford,Escort RS1800,1977,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_162.jpg?v=1,477,944.0,RWD,88000,Autoshow,4.2,4.2,3.6,3.0,2.8,6.0,191.1,0.83,8.282,26.781,115,1986
162,163,RETRO HOT HATCH,Ford,Fiesta XR2,1981,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_163.jpg?v=1,369,929.0,FWD,25000,Wheelspin,3.8,4.4,3.1,2.4,2.5,5.1,172.0,0.83,9.4,39.0,84,1852
163,164,RALLY MONSTERS,Ford,RS200 Evolution,1985,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_164.jpg?v=1,808,921.0,AWD,260000,Autoshow,5.4,5.7,6.9,2.3,5.0,7.8,246.7,1.07,3.66,9.122,506,2464
164,165,RETRO HOT HATCH,Ford,Escort RS Turbo,1986,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_165.jpg?v=1,516,920.0,FWD,25000,Autoshow,4.5,4.2,3.8,3.7,2.8,4.9,205.0,0.88,8.118,21.218,130,2154
165,166,RETRO SALOONS,Ford,Sierra Cosworth RS500,1987,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_166.jpg?v=1,604,950.0,RWD,66000,Autoshow,5.6,4.8,4.3,3.3,3.4,4.8,249.1,0.89,6.1,16.18,224,2734
166,167,RETRO RALLY,Ford,Escort RS Cosworth,1992,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_167.jpg?v=1,565,924.0,AWD,66000,Autoshow,5.2,4.8,4.3,2.8,3.1,5.2,230.0,0.89,6.218,17.4,224,2811
167,168,RETRO MUSCLE,Ford,SVT Cobra R,1993,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_168.jpg?v=1,539,948.0,RWD,28000,Autoshow,5.3,4.5,3.7,2.9,2.9,4.7,230.1,0.85,5.686,15.469,235,3125
168,169,TRACK TOYS,Ford,Supervan 3,1994,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_169.jpg?v=1,820,999.0,RWD,500000,Autoshow,5.2,8.0,7.4,5.5,7.9,4.6,235.0,1.33,4.5,9.9,295,1962
169,170,RETRO RALLY,Ford,Racing Puma,1999,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_170.jpg?v=1,514,913.0,FWD,20000,Autoshow,4.9,4.6,3.5,2.7,3.3,5.0,217.0,0.89,7.918,21.0,153,2588
170,171,RETRO MUSCLE,Ford,SVT Cobra R,2000,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_171.jpg?v=1,648,958.0,RWD,55000,Autoshow,6.7,5.0,4.0,4.0,3.4,4.5,293.4,0.9,4.388,10.57,385,3589
171,172,HOT HATCH,Ford,Focus RS,2003,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_172.jpg?v=1,593,909.0,FWD,30000,Autoshow,5.1,5.1,4.1,3.6,3.5,4.6,229.2,0.9,6.434,16.218,212,2822
172,173,RETRO SUPERCARS,Ford,GT,2005,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_173.jpg?v=1,786,958.0,RWD,300000,Wheelspin,7.7,6.6,4.7,3.3,5.3,5.1,338.9,1.02,3.784,8.8,550,3390
173,174,SUPER HOT HATCH,Ford,Focus RS,2009,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_174.jpg?v=1,660,897.0,FWD,25000,Autoshow,5.6,5.5,4.4,4.5,3.9,4.7,249.6,0.92,5.917,14.018,300,3236
174,175,RETRO MUSCLE,Ford,Crown Victoria Police Interceptor,2010,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_175.jpg?v=1,462,922.0,RWD,25000,Autoshow,5.2,4.1,3.1,1.9,2.5,5.6,226.3,0.79,7.9,21.7,250,4057
175,176,PICK-UP & 4X4'S,Ford,F-150 SVT Raptor,2011,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_176.jpg?v=1,518,882.0,AWD,42000,Autoshow,5.3,3.3,4.1,3.1,2.8,8.6,235.9,0.81,6.6,19.182,411,6006
176,177,VANS AND UTILITY,Ford,Transit SuperSportVan,2011,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_177.jpg?v=1,347,925.0,RWD,50000,Autoshow,4.5,4.0,2.7,3.1,2.3,5.4,196.7,0.77,13.179,34.482,198,4493
177,178,MODERN MUSCLE,Ford,Shelby GT500,2013,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_178.jpg?v=1,756,952.0,RWD,115000,Autoshow,7.4,5.2,4.7,4.6,4.3,4.9,327.2,0.95,3.489,7.686,662,3898
178,179,HOT HATCH,Ford,Fiesta ST,2014,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_179.jpg?v=1,607,916.0,FWD,25000,Autoshow,5.2,5.1,4.1,4.2,3.5,4.9,233.7,0.92,6.917,18.038,197,2720
179,180,OFFROAD,Ford,Ranger T6 Rally Raid,2014,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_180.jpg?v=1,643,892.0,AWD,250000,Autoshow,4.4,4.8,5.4,7.8,4.0,8.4,201.1,0.85,5.45,15.43,349,4354
180,181,UNLIMITED OFFROAD,Ford,#11 Rockstar F-150 Trophy Truck,2014,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_181.jpg?v=1,731,854.0,RWD,500000,Autoshow,5.6,3.3,4.6,4.5,4.8,9.1,244.8,0.89,4.377,10.582,850,6250
181,182,VANS AND UTILITY,Ford,FPV Limited Edition Pursuit Ute,2014,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_182.jpg?v=1,685,944.0,RWD,50000,Autoshow,6.3,5.0,4.7,4.9,3.7,5.1,282.4,0.9,4.985,10.983,422,3946
182,183,MODERN MUSCLE,Ford,Falcon GT F 351,2015,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_183.jpg?v=1,718,939.0,RWD,60000,Autoshow,7.1,5.5,4.8,5.0,4.4,4.7,303.6,0.92,4.486,9.684,471,4030
183,184,TRACK TOYS,Ford,Shelby GT350R,2016,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_184.jpg?v=1,815,978.0,RWD,75000,Autoshow,7.2,6.8,6.1,6.2,6.1,5.3,303.2,1.23,3.884,8.582,526,3660
184,185,RALLY MONSTERS,Ford,M-Sport Fiesta RS,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_185.jpg?v=1,808,938.0,AWD,500000,Autoshow,5.1,6.1,8.7,9.7,6.1,8.5,231.9,1.16,3.4,8.4,375,2800
185,186,SUPER HOT HATCH,Ford,Focus RS,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_186.jpg?v=1,702,942.0,AWD,59000,Autoshow,6.2,6.0,5.8,3.7,4.2,5.5,276.3,0.93,4.4,11.218,350,3446
186,187,MODERN SUPERCARS,Ford,GT,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_187.jpg?v=1,863,960.0,RWD,400000,Autoshow,8.3,7.1,6.6,3.6,8.5,4.4,362.3,1.16,2.887,5.474,630,3353
187,188,PICK-UP & 4X4'S,Ford,F-150 Raptor,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_188.jpg?v=1,559,910.0,AWD,63000,Autoshow,4.9,3.3,4.8,4.0,3.3,8.7,218.2,0.85,6.1,16.5,450,5450
188,189,RALLY MONSTERS,Ford,#14 Rahal Letterman Lanigan Racing GRC Fiesta,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_189.jpg?v=1,860,906.0,AWD,500000,Wheelspin,5.0,5.6,9.2,10.0,5.9,7.6,224.9,1.17,2.8,5.918,600,2746
189,190,UNLIMITED OFFROAD,Ford,#25 'Brocky' Ultra4 Bronco RTR,2017,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_190.jpg?v=1,748,913.0,AWD,500000,Autoshow,4.7,4.1,6.1,5.2,5.2,10.0,213.9,0.96,4.3,9.698,600,4500
190,191,DRIFT CARS,Ford,#25 Mustang RTR,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_191.jpg?v=1,834,978.0,RWD,500000,Autoshow,5.9,5.3,5.2,5.5,4.7,4.0,257.3,1.07,4.185,6.858,1000,3100
191,192,MODERN MUSCLE,Ford,Mustang GT,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_192.jpg?v=1,756,963.0,RWD,40000,Autoshow,6.9,5.5,5.2,5.5,4.4,4.9,307.7,0.97,4.286,9.683,460,3705
192,193,MODERN MUSCLE,Ford,Mustang RTR Spec 5,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_193.jpg?v=1,757,999.0,RWD,105000,Autoshow,6.5,6.2,5.1,5.4,4.8,4.6,288.6,1.0,4.9,10.683,460,3827
193,194,DRIFT CARS,Ford,#88 Mustang RTR,2018,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_194.jpg?v=1,834,978.0,RWD,500000,Autoshow,5.9,5.3,5.2,5.5,4.7,4.1,0.0,1.07,4.185,6.858,1000,3100
194,195,PICK-UP & 4X4'S,Ford,Ranger Raptor,2019,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_195.jpg?v=1,451,905.0,AWD,58000,Wheelspin,4.5,3.3,2.7,4.9,3.1,8.6,199.9,0.84,10.0,29.917,211,5141
195,196,MODERN MUSCLE,Ford,Mustang Shelby GT500,2020,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_196.jpg?v=1,836,964.0,RWD,100000,Autoshow,7.7,6.6,5.8,6.1,5.6,4.8,337.3,1.2,3.287,6.685,760,4171
196,197,OFFROAD,Ford,#2069 Ford Performance Bronco R,2020,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_197.jpg?v=1,544,853.0,AWD,250000,Autoshow,4.2,4.1,3.2,5.2,4.8,10.0,189.6,0.87,7.566,25.1,325,4475
197,198,OFFROAD,Ford,"#2069 Ford Performance Bronco R ""Welcome Pack""",-1,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_198.jpg?v=1,800,884.0,AWD,250000,Autoshow,6.1,3.9,8.8,9.9,5.4,9.9,273.3,0.94,7.117,23.959,800,4475
198,199,PICK-UP & 4X4'S,Ford,Super Duty F-450 DRW PLATINUM,2020,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_199.jpg?v=1,466,894.0,AWD,70000,Autoshow,4.6,3.1,4.3,7.3,2.7,8.1,205.0,0.78,7.481,19.2,475,8587
199,200,PICK-UP & 4X4'S,Ford,Bronco,2021,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_200.jpg?v=1,560,890.0,AWD,55000,Autoshow,4.9,3.5,4.0,6.1,3.4,8.4,218.1,0.86,6.9,18.6,310,4810
200,201,DRIFT CARS,Formula Drift,#98 BMW 325i,1989,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_201.jpg?v=1,813,955.0,RWD,300000,Autoshow,6.9,5.1,5.0,5.2,4.2,4.1,301.1,1.02,3.773,7.256,750,2800
201,202,DRIFT CARS,Formula Drift,#777 Nissan 240SX,1997,https://www.kudosprime.com/fh5/images/cars/big/fh5_car_202.jpg?v=1,826,943.0,RWD,300000,Autoshow,6.7,5.3,5.2,5.5,4.4,4.0,291.8,1.04,4.567,7.9,1251,3100
